% dwellings which are public housing,Distance to GPO (km),Public Housing Dwellings,Equivalent household income <$600/week,"Poor English proficiency, persons",Dwellings with no internet,"Aboriginal or Torres Strait Islander, persons","Holds degree or higher, persons",Population Density
,102.939521905,<5,662,32,300,29,632,5.452078039082464
,87.04849519240001,<5,311,<5,154,19,309,322.94307357762347
5.6672760511883,330.631130655,31,104,<5,31,13,213,573.0192723786655
,297.999792218,<5,66,<5,43,14,31,260.7006878420434
,75.8625393499,<5,39,<5,24,<5,95,83.97750671485908
,59.6488851466,<5,35,<5,8,8,38,137.14091461607185
6.235827664399093,59.671157125700006,55,274,9,131,26,132,219.53745433711367
7.7854671280276815,33.670717159400006,270,1018,164,546,28,956,1322.677884357542
4.135180520570949,34.5828819016,197,1534,399,847,44,1440,1463.7624869386757
2.4861878453038675,52.7505983994,18,108,16,77,5,221,62.57558722044804
1.7650025214321734,50.969087075,35,446,24,230,21,515,1290.765896232596
,56.81115712570001,<5,62,<5,34,<5,219,41.42352174747413
,53.3560266521,<5,117,7,62,8,317,226.2737589346924
,165.08950903,<5,451,<5,254,26,183,1.34074211013524
1.8248175182481752,160.266555115,10,280,<5,187,23,35,252.2975099309964
0.1567398119122257,21.7861770217,8,937,70,602,11,3360,2584.323987674113
,157.493038423,<5,55,<5,36,<5,5,384.723196128157
,284.416156671,<5,242,<5,121,18,335,3.802221159919155
5.5039313795568265,282.972700937,77,490,19,321,21,464,360.2136187352193
,45.7785520519,<5,474,7,167,22,918,149.95583992841182
,43.8513081996,<5,122,<5,26,11,194,850.8530295564624
,42.0719856944,<5,109,<5,52,<5,186,216.93797441154035
0.7133592736705577,46.058071073,11,373,11,145,<5,710,1000.3613314152784
3.791650708540789,71.4209797811,99,1049,270,724,44,460,615.8356615458151
5.044642857142857,70.6459156525,113,876,391,642,58,348,1662.6743133827497
3.6259541984732815,72.8662457062,76,854,226,568,49,331,2211.9457995582334
,341.300972357,<5,46,<5,18,<5,32,684.1748566582653
50.42016806722689,13.2994809962,360,259,118,163,16,271,1945.719811420059
4.470198675496689,77.925180189,27,227,14,154,9,120,224.114111526366
4.442086112795634,77.7510320554,293,2313,120,1558,92,2099,1489.0616447450657
,225.375681733,<5,680,8,381,36,509,1.8934323230638508
13.384279475982533,211.348001657,613,1990,38,1317,123,694,368.04331993514256
5.587121212121212,152.39255247399998,59,338,<5,224,10,370,1202.6950118068744
6.176569318563276,151.048157126,184,965,45,605,90,1096,1059.8177518228222
2.0574534161490683,17.032704191199997,212,2907,1101,1840,33,5399,2984.536164877946
1.177432542927228,14.7782811428,72,1550,532,937,13,3887,3451.1236228198286
,49.2545944248,<5,230,19,104,14,392,59.60964267155802
1.8788488123664695,46.0120722233,299,3910,708,1724,150,5919,1775.927139605154
,347.783208574,<5,34,<5,15,<5,14,204.54032476825932
4.958677685950414,373.29007878,6,77,<5,35,9,<5,194.9473480027424
,318.892181409,<5,150,<5,100,6,48,0.3069254129241875
4.80225988700565,309.808533431,17,148,<5,104,<5,67,177.39512488970058
,134.849182723,<5,84,<5,61,<5,58,350.9340575601629
0.4611837048424289,75.6161571257,6,367,<5,139,42,268,325.6681470595228
8.58806404657933,111.214746435,177,727,10,456,89,607,800.0930573439537
,19.4232209444,<5,471,34,323,<5,1643,1714.2745012272976
1.7309772809231878,21.3771363522,48,841,387,466,8,1551,2714.175114824319
8.129888599194121,24.3588008141,343,1357,517,784,29,2430,3057.7720534230552
0.5207328833172613,23.0173512488,27,1208,327,713,<5,3701,2276.5854000143813
,88.6269973094,<5,73,<5,33,<5,47,55.87918707170705
,102.922840496,<5,362,7,224,19,285,354.0919038738497
,63.9990512446,<5,126,5,56,11,39,2342.9672368545043
2.443406395975566,32.3051571257,68,845,72,524,18,880,2153.6144626875835
2.3255813953488373,170.168234641,6,104,<5,42,<5,45,412.01528919999953
1.794871794871795,252.697210547,7,158,<5,135,25,63,343.10344772232344
3.270509977827051,40.6935898878,59,418,13,210,30,605,344.73814276073074
5.453321364452424,36.8914564973,486,2722,412,1541,128,2508,1904.801536637116
,57.0421571257,<5,74,14,33,<5,142,205.1829381460308
